name,link,website,job,requirement,salary_min,salary_max,currency
Программист Python,https://spb.hh.ru/vacancy/53974102?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Uploadcare пользуются тысячи разработчиков со всего мира. Среди наших клиентов Buffer, Soundcloud, Samsonite, Timepad, Cardano и Fitbit. Нас поддерживают инвесторы...","Нужно: Хорошее знание Python 3 и/или одного из языков: Ruby, Java, Go, Erlang/Elixir (но желание писать на Python). ",3000.0,, USD
Разработчик Python,https://spb.hh.ru/vacancy/54453619?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,Участие в разработке новых проектов. Поддержка и улучшение существующего кода. Взаимодействие с командой разработчиков.,Опыт работы с языком программирования Python 2.7/3. Опыт разработки асинхронных приложений на Python. Знание протокола HTTP и понимание...,100000.0,200000.0, руб.
"Junior programmer (Python, C++)",https://spb.hh.ru/vacancy/49789002?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,,"Техническое образование (также студенты последних курсов). Хорошие знания C, Python. Наличие портфолио является большим преимуществом. Техническая грамотность. Умение и готовность...",,,
Python developer (Middle),https://spb.hh.ru/vacancy/51183293?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Поддержкой, развитием и оптимизацией проектов. Проектированием и развитием архитектуры баз данных. Разработкой новой функциональности и улучшением имеющейся. Связкой backend и...","Хорошие знания Python. Хорошие знания Django. Опыт работы с asyncio, aiohttp. Опыт разработки высоконагруженных систем. Большой опыт работы с SQL...",300000.0,360000.0, руб.
Junior+/ Middle Python разработчик,https://spb.hh.ru/vacancy/54566313?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Разрабатывать web-сервисы на Python. Интеграции сторонних API (платежки и пр.). Настройка серверов, работа с доменами. Работа с БД. ","Английский язык на техническом уровне. Имеете опыт разработки на Python: Flask, SQLAlchemy, Celery, Tornado. Знакомы со Scrapy и Falcon. ",40000.0,80000.0, руб.
Python Developer Intern,https://spb.hh.ru/vacancy/54414582?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Написание модульных тестов (TDD) для ПО Management Software СХД (Python, Linux). Написание функциональных спецификаций (Confluence). Использование технологий Систем Хранения Данных...","Опыт программирования на Python 3 или любом другом языке программирования (Standard Library, RPC, TDD). Владение техническим английским (Pre-Intermediate). ",,,
Программист Python,https://spb.hh.ru/vacancy/54422891?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,Backend разработка. Реализация UI на PyQt. Реализация бизнес-логики. Рефакторинг старого кода и проектирование нового. Написание тестов. Решение нестандартные задач...,"...работы python программистом более 3х лет. Отличное знание Python(>3.6), ООП, паттернов проектирования. Наличие реализованных проектов на Python. ",150000.0,200000.0, руб.
Python разработчик,https://spb.hh.ru/vacancy/54551026?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Разрабатывать, внедрять и поддерживать сервисы и API для обработки и анализа сырых данных, в т.ч. на основе машинного обучения. ",,160000.0,300000.0, руб.
Junior python developer,https://spb.hh.ru/vacancy/53554589?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Разработка бека для веб-приложений в проекте, посвященном обработке большого количества данных. Разработка и поддержка парсеров данных из различных источников...","Обязательно: Python 3, Django, SQL (PostgreSQL), REST API, WS API. Будет плюсом: React. Опыт разработки от 1 года. ",,,
Python Developer,https://spb.hh.ru/vacancy/54385772?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,Участие в разработке микросервисов. Разработка бэкэнда для нашего сайта с поддержкой записи датасетов и т.п. Предоставление обратной связи о...,"По меньшей мере 2 года в бэкенд-разработке на Python. GRPC, REST. Prometheus/Grafana, Loki, OpenTracing. Docker/Docker Compose. ",250000.0,350000.0, руб.
Python разработчик,https://spb.hh.ru/vacancy/54323700?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Участие в разработке цифровых продуктов. Проектирование и реализация api-сервисов, в том числе с предиктивным функционалом. Участие в проектировании архитектуры...","Опыт работы от 2 лет. Уверенное владение Python\Django, PostgreSQL. Опыт написания клиент-серверных приложений. Навыки уверенной работы с Git...",160000.0,, руб.
Data Scientist,https://spb.hh.ru/vacancy/53560338?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,Имплементация SOTA подходов из статей. - Оптимизация алгоритмов для продакшна. - Участие в соревновании по распознаванию NIST и других. - Дизайн экспериментов на...,"С хорошим знанием ML, DL, python , C , PyTorch, погруженные в последние статьи и руками строившие боевой ML-продакшн. - ",300000.0,, руб.
Разработчик Python,https://spb.hh.ru/vacancy/54036931?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Коммуникация с бизнес-заказчиком и участниками команды, составление и согласование ключевой документации (описание разработки, инструкция пользователя, карточка робота). ",Высшее образование (техническое/экономическое). Аналитическое мышление. Знание основ языка программирования Python и уверенное знание 2-го системного языка программирования (C...,150000.0,, руб.
Python-разработчика,https://spb.hh.ru/vacancy/54605309?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,Бэкенд для взаимодействия с реестрами доменных имен. Сервис продажи доменов на вторичном рынке. Умный подбор доменных имён для главного сайта...,"У нас есть несколько perl-сервисов, которые планируется портировать на python3. Навыки декомпозиции крупной бизнес-задачи на более мелкие. ",,,
Программист Python,https://spb.hh.ru/vacancy/52118290?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Разработка ПО. Тестирование ПО. Разработка программной документации. Настройка оборудования: установка и настройка операционной системы, общего и специального программного обеспечения, настройка...","Опыт программирования на Python 3 версии от 6 мес. Технический английский, свободное чтение технической документации. Навыки работы с библиотекой Pandas. ",,,
Python Developer 3 - ML Infra (to Canada/Serbia),https://spb.hh.ru/vacancy/54346665?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Design complex distributed software systems. Build service API, using modern tools like flask, swagger, fastapi, etc. Participate in design and...","4 years experience in Software Engineering, a proven track record of building and maintaining complex business applications in Python. ",8500.0,, USD
Junior Python Developer,https://spb.hh.ru/vacancy/54529049?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,Работать с прайс листами. Делать выгрузки. Парсить сайты. Работать с данными. Автоматизировать рутинные задачи. Работать с API. Писать внутренние сервисы.,Знание принципов ООП. Опыт разработки Python. Базовый опыт работы с Django. Базовый опыт Git. Знание принципов разработки под WEB. Scrapy. ,20000.0,30000.0, руб.
Python developer (Senior),https://spb.hh.ru/vacancy/54136033?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Разработкой архитектуры, поддержкой, развитием и оптимизацией проектов. Проектированием и развитием архитектуры баз данных. Разработкой новой функциональности и улучшением имеющейся. ","Отличные знания Python. Высокий уровень знаний Django. Разнообразный опыт работы с asyncio, aiohttp. Большой опыт разработки высоконагруженных и распределенных систем. ",360000.0,480000.0, руб.
Senior Python разработчик (офис в Санкт-Петербурге),https://spb.hh.ru/vacancy/53406159?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,"Развить систему выбора оптимальной конфигурации торговой системы. Автоматизировать работу трейдеров: Подключать внешние (медленные) источники данных, которые будут использоваться для автоматического...",Экспертность в Python. Знания алгоритмов. Опыт работы с БД. Опыт DevОps поддержки ML разработки.,,400000.0, руб.
Python developer,https://spb.hh.ru/vacancy/54570817?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,Разработка бизнес логики Backend части сервиса. - Взаимодействие с Frontend командой. - Участие в формировании roadmap развития.,"Имеешь опыт коммерческой разработки на Python от 2х лет. - Обладаешь знаниями в построении архитектуры проекта. - Знаком с Linux, Docker...",100000.0,160000.0, руб.
Python Developer (Middle),https://spb.hh.ru/vacancy/54512277?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://spb.hh.ru,,,,,
